address,full_address,subdistrict_name,lat,lng,name
九龍偉業街33號德福廣場1期地下客戶服務中心,九龍灣偉業街33號德福廣場一期充電站,九龍灣,22.3222,114.2132,德福廣場一期
九龍灣偉業街33號德福廣場二期三樓客戶服務中心,九龍灣偉業街33號德福廣場一期充電站,九龍灣,22.3222,114.2132,德福廣場一期
九龍灣站大堂（近客服中心）,港鐵九龍灣站KOB10號舖(近陶大花園),九龍灣,22.324,114.214,7-11便利店-港鐵九龍灣站
九龍灣站1號月台（近月台監察亭）,港鐵九龍灣站KOB10號舖(近陶大花園),九龍灣,22.324,114.214,7-11便利店-港鐵九龍灣站
觀塘道199號牛頭角公園足球場入口,觀塘道   199號,牛頭角,22.3228,114.2153,牛頭角公園
牛頭角兆業街9號牛頭角救護站正門入口外,牛頭角兆業街9號,九龍灣,22.3201,114.2122,牛頭角救護站
九龍灣宏遠街1號一號九龍大堂禮賓部,九龍九龍灣宏遠街1號一號九龍28樓,九龍灣,22.3206,114.21,綠色星期一基金會有限公司
九龍牛頭角道120號牛頭角下邨物業服務辦事處保安控制室,牛頭角道   120號,牛頭角,22.3215,114.2155,牛頭角下邨
九龍灣宏照道33號北面大堂禮賓部,香港九龍灣宏照道38號企業廣場5期MegaBox一樓1至18、24至46號舖及二樓1至23、35至58號舖,九龍灣,22.3198,114.2085,AEON-九龍灣店
九龍灣宏照道39號企業廣場3期一樓大堂接待處,九龍九龍灣宏照道39號企業廣場第3期30樓3005室,九龍灣,22.3197,114.2096,智利 - 總領事館
九龍灣牛頭角道77號淘大商場停車場收費處（一期商場二樓）,九龍九龍灣牛頭角道77號淘大商場停車場一樓,九龍灣,22.3251,114.2163,淘大商場
九龍牛頭角安德道1樓2號二樓詢問處（明愛牛頭角社區中心）,安德道   1號,牛頭角,22.321,114.2165,明愛牛頭角社區中心
九龍灣宏照道38號企業廣場5期一座辦公大樓L1顧客服務中心,香港九龍灣宏照道38號企業廣場5期MegaBox一樓1至18、24至46號舖及二樓1至23、35至58號舖,九龍灣,22.3198,114.2085,AEON-九龍灣店
九龍灣常悅道9號企業廣場三樓大堂接待處側,九龍九龍灣常悅道9號企業廣場一期1座1樓1&3號舖,九龍灣,22.322,114.2079,九龍灣郵政局
九龍灣常悅道9號企業廣場第三座11樓接近貨用升降機大堂,九龍九龍灣常悅道9號企業廣場一期1座1樓1&3號舖,九龍灣,22.322,114.2079,九龍灣郵政局
九龍牛頭角振華道20號安基商場地下大堂顧客服務中心,九龍牛頭角樂華邨展華樓141-150號地下,牛頭角,22.3211,114.2188,牛頭角服務中心
九龍灣牛頭角道77號淘大商場2期1樓禮賓服務台,"九龍灣牛頭角道77 號淘大花園淘大商場一期1 樓F33-37, F38-40及F41-45 號舖",九龍灣,22.3248,114.2162,TASTE x FRESH新鮮生活-淘大商場
九龍灣宏照道38號企業廣場5期MegaBox G樓顧客服務中心,香港九龍灣宏照道38號企業廣場5期MegaBox一樓1至18、24至46號舖及二樓1至23、35至58號舖,九龍灣,22.3198,114.2085,AEON-九龍灣店
九龍灣宏照道38號企業廣場5期MegaBox L15保安辦公室,香港九龍灣宏照道38號企業廣場5期MegaBox一樓1至18、24至46號舖及二樓1至23、35至58號舖,九龍灣,22.3198,114.2085,AEON-九龍灣店
九龍灣宏照道38號企業廣場5期MegaBox L9 顧客服務中心,香港九龍灣宏照道38號企業廣場5期MegaBox一樓1至18、24至46號舖及二樓1至23、35至58號舖,九龍灣,22.3198,114.2085,AEON-九龍灣店
九龍灣啟祥道20號大昌行集團大廈地面,九龍灣啓祥道20號大昌行集團大廈地下,九龍灣,22.3249,114.2079,大昌貿易行汽車服務中心有限公司 - 車隊服務
九龍灣啟樂街15號九龍灣體育館大堂,啓樂街   15號,九龍灣,22.3269,114.2116,九龍灣體育館
九龍灣常悅道3號企業廣場2期一樓大堂接待處,香港九龍灣宏照道38號企業廣場5期MegaBox一樓1至18、24至46號舖及二樓1至23、35至58號舖,九龍灣,22.3198,114.2085,AEON-九龍灣店
九龍灣啟樂街1號九龍灣運動場,九龍灣啟樂街1號,九龍灣,22.3265,114.2091,九龍灣運動場 A(室外)
牛池灣公園,九龍黃大仙牛池灣豐盛街71號,牛池灣,22.3362,114.216,牛池灣公園(室外)
九龍灣常悅道1號恩浩國際中心地下控制室,九龍九龍灣展貿徑1號九龍灣國際展貿中心停車場地庫二樓,九龍灣,22.323,114.2045,九龍灣國際展貿中心
九龍灣臨華街1號地下報案室外,九龍灣臨華街1號九龍巴士九龍灣車廠地下,九龍灣,22.3237,114.2073,力成汽車維修有限公司
九龍祥業街5號啟德消防局正門入口外,九龍祥業街5號,,22.3164,114.2112,啟德消防局
九龍臨興街5號九龍灣消防局正門入口外,九龍臨興街5號,九龍灣,22.3244,114.2058,九龍灣消防局
觀塘海濱道83號花旗大廈地下大堂保安控制室,九龍觀塘海濱道173號申新大廈地下,,22.3102,114.2198,ASTON MARTIN (HONG KONG)
觀塘海濱道83號花旗大廈5樓 First Aid Room,九龍觀塘海濱道83號OneBayEastCitiTower一樓E4號舖,,22.3159,114.2142,7-11便利店-海濱道83號
九龍牛頭角彩霞道10號佐敦谷遊樂場辦事處門外,九龍牛頭角佐敦谷遊樂場,佐敦谷,22.3245,114.2177,廁所(佐敦谷遊樂場附近)
九龍灣啟禮道18號九龍灣公園,九龍灣啟禮道18號,九龍灣,22.3272,114.2072,九龍灣公園停車場(室外)
九龍觀塘海濱道80號海濱花園急救室門外,九龍觀塘海濱道80號,,22.3097,114.2191,觀塘海濱花園 (指定位置)
九龍灣承昌道1號香港兒童醫院A座,九龍九龍灣承昌道一號香港兒童醫院A座2樓C8﹒4﹒3室及B座3樓B﹒3﹒15室,啟德,22.3163,114.2082,香港紅十字會醫院學校 (小學部)
彩德商場控制室,薄枎林置富南區廣場4樓(近控制室),置富,22.2579,114.1386,回收機構及收集點： 置富南區廣場
香港兒童醫院B座,九龍灣承昌道一號香港兒童醫院B座1樓,啟德,22.3152,114.2092,遺傳輔導診所
牛頭角振華道50號樂雅苑停車場頂樓,牛頭角振華道50號樂雅苑停車場頂樓,牛頭角,22.3224,114.2204,振華道體育館
祥業街1號啟德海濱公園（香港兒童醫院段）,祥業街   1號,啟德,22.3153,114.2087,啟德海濱公園（香港兒童醫院段）
海濱道公園近女洗手間及更衣室牆外,海濱道   85號,,22.3148,114.2157,海濱道公園
觀塘彩榮路58號體育館地下簽場處,觀塘彩榮路58號,佐敦谷,22.3294,114.2165,彩榮路體育館
九龍灣啟成街3號機電工程署地下大堂接待處,九龍灣啟成街3號機電工程署總部車輛部主廠,九龍灣,22.3259,114.2036,機電工程署 - 車輛工程分部 (九龍灣)
九龍灣布衣格建築啟動豎井施工區飯堂B內，門口左邊,九龍長沙灣以馬內利浸信會區樹洪社會服務大樓,長沙灣,22.3345,114.1538,以馬內利浸信會
牛頭角站大堂近客服中心,港鐵牛頭角站NTK13號舖(近B出口),,22.3156,114.219,7-11便利店-港鐵牛頭角站
牛頭角站1號月台（近第四卡）,九龍牛頭角香港鐵路牛頭角站,,22.3155,114.219,港鐵牛頭角站
觀塘新清水灣道20號坪石遊樂場訂場處,九龍牛頭角新清水灣道20號,牛池灣,22.3381,114.2102,坪石遊樂場
觀塘偉業街108號絲寶國際大廈,九龍觀塘偉業街182號官塘碼頭廣場停車場六樓,,22.3092,114.2212,觀塘碼頭廣場
觀塘道378號創紀之城二期1樓禮賓部,九龍觀塘觀塘道388號創紀之城1期 1座9樓915-918室,,22.3139,114.2213,地理空間實驗室
觀塘康寧道180號康寧道公園訂場處,康寧道   180號,牛頭角,22.3199,114.2242,康寧道公園（第一期）
康寧道康寧道遊樂場公園辦事處,康寧道公園（第一期）,牛頭角,22.3204,114.2246,康寧道公園(第一期)廁所
新清水灣道71號佐敦谷公園公園辦事處外,新清水灣道   71號,順利邨,22.3299,114.2212,佐敦谷公園
觀塘道388號創紀之城一期地下客戶服務中心,九龍觀塘觀塘道388號創紀之城一期地下2B舖,,22.3138,114.2211,7-11便利店-創紀之城
觀塘道392號創紀之城6期1樓大堂,九龍觀塘觀塘道392號創紀之城6期21樓,,22.3133,114.222,觀塘民政事務處
牛池灣消防局正門入口外,鴨脷洲消防局,鴨脷洲,22.2433,114.1522,鴨脷洲消防局
清水灣道11號3樓牛池灣市政大廈走廊近前台辦事處,清水灣道   11號,牛池灣,22.3346,114.2093,牛池灣市政大廈
觀塘秀雅道遊樂場上場臨時公園辦事處,九龍觀塘月華街遊樂場,觀塘,22.3154,114.2265,月華街遊樂場
彩虹站4號月台（近第四卡）,九龍牛池灣香港鐵路彩虹站,牛池灣,22.3355,114.2075,港鐵彩虹站-C4進出口
彩虹站1號月台近第四卡,九龍牛池灣香港鐵路彩虹站,牛池灣,22.3355,114.2075,港鐵彩虹站-C4進出口
